time,value1,value2,value3
151721,0,0.1333,0.0344
151721,0,0.1,0
151721,0,0.0666,0
151721,0,0.0333,0
151721,0,0,0
151721,0,0,0
151721,0,0,0
151721,0,0,0
151721,0,0,-0.034
151721,0,0,-0.069
151721,0,0,-0.104
151721,0,0,-0.139
151721,0,0,-0.174
151721,0,0,-0.209
151721,0,0,-0.244
151721,0,0,-0.209
151721,0,0,-0.175
151721,0,0,-0.14
151721,0,0,-0.105
151721,0,0,-0.07
151721,0,0,-0.035
151721,0,0.0333,0
151721,0,0.0666,0
151721,0,0.1,0
151721,0,0.1333,0
151721,0,0.1666,0
151721,0,0.2,0
151721,0,0.2333,0
151721,0,0.2,0
151722,0,0.1666,0
151722,0,0.1333,0
151722,0,0.1,0
151722,0,0.1333,0
151722,0,0.1666,0
151722,0,0.2,0
151722,0,0.2333,0
151722,0,0.2666,0
151722,0,0.3,0
151722,0,0.3333,0
151722,0,0.3666,0
151722,0,0.4,0
151722,0,0.4333,0
151722,0,0.4666,0
151722,0,0.5,0
151722,0,0.5333,0
151722,0,0.5,0
151722,0,0.4666,0
151722,0,0.4333,0
151722,0,0.4,0
151722,0,0.3666,0
151722,0,0.3333,0
151722,0,0.3,0
151722,0,0.2666,0
151722,0,0.3,0
151722,0,0.3333,0
151722,0,0.3666,0
151722,0,0.4,0
151722,0,0.4333,0
151722,0,0.4666,0
151723,0,0.5,0
151723,0,0.5333,0
151723,0,0.5666,0
151723,0,0.6,0
151723,0,0.6333,0
151723,0,0.6,0
151723,0,0.5666,0
151723,0,0.5333,0
151723,0,0.5,0
151723,0,0.4666,0
151723,0,0.4333,0
151723,0,0.4,0
151723,0,0.3666,0
151723,0,0.3333,0
151723,0,0.3,0
151723,0,0.3333,0
151723,0,0.3666,0
151723,0,0.4,0
151723,0,0.4333,0
151723,0,0.4666,0
151723,0,0.5,0
151723,0,0.5333,0
151723,0,0.5666,0
151723,0,0.6,0
151723,0,0.6333,0
151723,0,0.6666,0
151723,0,0.7,0
151723,0,0.7333,0
151723,0,0.7666,0
151723,0,0.8,0
151724,0,0.8333,0
151724,0,0.8666,0
151724,0,0.9,0
151724,0,0.9333,0
151724,0,0.9666,0
151724,0,1,0
151724,0,1,0
151724,0,1,-0.033
151724,0,1,-0.066
151724,0,1,-0.099
151724,0,1,-0.133
151724,0,1,-0.099
151724,0,1,-0.066
151724,0,1,-0.033
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0
151724,0,1,0.0329
151724,0,0.9666,0.0658
151725,0,0.9333,0.0987
151725,0,0.9,0.1315
151725,0,0.8666,0.1643
151725,0,0.8333,0.1971
151725,0,0.8,0.2298
151725,0,0.7666,0.1969
151725,0,0.7333,0.164
151725,0,0.7,0.1311
151725,0,0.6666,0.0983
151725,0,0.6333,0.0655
151725,0,0.6,0.0327
151725,0,0.5666,0
151725,0,0.5333,0
151725,0,0.5,0
151725,0,0.4666,0
151725,0,0.4333,-0.032
151725,0,0.4,-0.065
151725,0,0.3666,-0.097
151725,0,0.3333,-0.13
151725,0,0.3,-0.163
151725,0,0.2666,-0.195
151725,0,0.2333,-0.228
151725,0,0.2,-0.261
151725,0,0.1666,-0.293
151725,0,0.1333,-0.326
151725,0,0.1,-0.359
151725,0,0.0666,-0.392
151725,0,0.0333,-0.424
151725,0,0,-0.457
151725,0,0,-0.424
151726,0,0,-0.392
151726,0,0,-0.359
151726,0,0,-0.326
151726,0,0,-0.294
151726,0,0.0333,-0.261
151726,0,0.0666,-0.229
151726,0,0.1,-0.196
151726,0,0.1333,-0.163
151726,0,0.1666,-0.13
151726,0,0.2,-0.098
151726,0,0.2333,-0.065
151726,0,0.2,-0.032
151726,0,0.1666,0
151726,0,0.1333,0
151726,0,0.1,0.0327
151726,0,0.0666,0.0655
151726,0,0.0333,0.0982
151726,0,0,0.131
151726,0,0,0.1638
151726,0,0,0.1966
151726,0,0,0.2295
151726,0,0,0.2623
151726,0,0,0.2951
151726,0,0,0.328
151726,0,0,0.3608
151726,0,0,0.3281
151726,0,0,0.2953
151726,0,0,0.2625
151726,0,0,0.2298
151726,0,0,0.197
151727,0,0,0.1642
151727,0,0,0.1313
151727,0,0,0.0985
151727,0,0,0.0657
151727,0,0,0.0328
151727,0,0,0
151727,0,0.0333,0
151727,0,0.0666,0
151727,0,0.1,0
151727,0,0.1333,0
151727,0,0.1666,0
151727,0,0.1333,0
151727,0,0.1,0
151727,0,0.0666,0
151727,0,0.0333,0
151727,0,0,0
151727,0,0,0
151727,0,0,0
151727,0,0,0
151727,0,0.0333,0
151727,0,0.0666,0.0329
151727,0,0.1,0.0659
151727,0,0.1333,0.0988
151727,0,0.1,0.1318
151727,0,0.0666,0.1648
151727,0,0.0333,0.1978
151727,0,0,0.1648
151727,0,0,0.1319
151727,0,0,0.0989
151727,0,0,0.0659
151728,0,0,0.0329
151728,0,0,0
151728,0,0,0
151728,0,0,0
151728,0,0,0
151728,0,0,0
151728,0,0.0333,0
151728,0,0.0666,0
151728,0,0.1,0
151728,0,0.1333,0
151728,0,0.1,0
151728,0,0.0666,0
151728,0,0.0333,0
151728,0,0,0
151728,0,0,0
151728,0,0.0333,0
151728,0,0.0666,0
151728,0,0.1,0
151728,0,0.1333,0
151728,0,0.1666,0
151728,0,0.2,0
151728,0,0.2333,0
151728,0,0.2666,0
151728,0,0.3,0
151728,0,0.3333,0
151728,0,0.3666,0
151728,0,0.4,0
151728,0,0.4333,0
151728,0,0.4666,0
151728,0,0.5,0
151729,0,0.5333,0
151729,0,0.5666,0
151729,0,0.6,0
151729,0,0.6333,0
151729,0,0.6666,0
151729,0,0.7,0
151729,0,0.7333,0
151729,0,0.7666,0
151729,0,0.8,0
151729,0,0.8333,-0.033
151729,0,0.8666,-0.066
151729,0,0.9,-0.099
151729,0,0.9333,-0.132
151729,0,0.9666,-0.098
151729,0,1,-0.065
151729,0,1,-0.032
151729,0,1,0
151729,0,1,0
151729,0,1,0
151729,0,1,0
151729,0,1,0
151729,0,1,0
151729,0,1,0
151729,0,1,0
151729,0,1,0
151729,0,1,0
151729,0,1,0
151729,0,1,0
151729,0,1,0
151729,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0.0325
151730,0,1,0.0651
151730,0,1,0.0976
151730,0,1,0.1301
151730,0,1,0.0975
151730,0,1,0.065
151730,0,1,0.0324
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151730,0,1,0
151731,0,1,-0.032
151731,0,1,-0.064
151731,0,1,-0.096
151731,0,1,-0.128
151731,0,1,-0.16
151731,0,1,-0.192
151731,0,1,-0.16
151731,0,1,-0.128
151731,0,1,-0.096
151731,0,1,-0.064
151731,0,1,-0.031
151731,0,1,0
151731,0,1,0
151731,0,1,0
151731,0,1,0
151731,0,1,0
151731,0,1,0
151731,0,1,0
151731,0,1,0
151731,0,1,0
151731,0,1,0
151731,0,1,0.0317
151731,0,1,0.0635
151731,0,1,0.0952
151731,0,1,0.1269
151731,0,1,0.0951
151731,0,1,0.0634
151731,0,1,0.0316
151731,0,1,0
151731,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
